iter	Logloss
0	0.6819035537
1	0.670939207
2	0.6608764559
3	0.6516921079
4	0.6431071717
5	0.6346408667
6	0.6264046585
7	0.6184921428
8	0.6114338833
9	0.6049669072
10	0.5983386384
11	0.5923089678
12	0.5864692948
13	0.5805371542
14	0.5755772433
15	0.5709886966
16	0.5651176448
17	0.5609805983
18	0.5568783562
19	0.5519926166
20	0.5485125879
21	0.5442980044
22	0.54040528
23	0.5373693862
24	0.5334384456
25	0.5300272379
26	0.5261735232
27	0.5233076284
28	0.5208144307
29	0.5173491398
30	0.5145369845
31	0.5117248169
32	0.509145896
33	0.5069100035
34	0.5043676386
35	0.5018483203
36	0.4996144717
37	0.4978554839
38	0.4956386438
39	0.493529625
40	0.4911321487
41	0.4897476652
42	0.4885568761
43	0.4869155389
44	0.4854133576
45	0.4835146152
46	0.4817211228
47	0.4799503865
48	0.4776487607
49	0.476547064
50	0.4753064726
51	0.4737116772
52	0.4719741313
53	0.4709343993
54	0.4693670979
55	0.4679106265
56	0.4667185322
57	0.4649080384
58	0.4631649369
59	0.4621859057
60	0.4604531191
61	0.4591262747
62	0.4576885598
63	0.4561851028
64	0.4553488167
65	0.4542635049
66	0.453548396
67	0.4526284075
68	0.4513823454
69	0.450304788
70	0.4494404607
71	0.4484405226
72	0.4477222001
73	0.4468644322
74	0.4460877584
75	0.4454713162
76	0.4448743736
77	0.4442798972
78	0.4437328092
79	0.4428284008
80	0.4419809125
81	0.4412531235
82	0.4404036569
83	0.4397977515
84	0.4391566401
85	0.4382794058
86	0.4375282476
87	0.4365556233
88	0.4357629191
89	0.4349074171
90	0.4341434743
91	0.4333324195
92	0.4326535646
93	0.4320470407
94	0.4316084416
95	0.4309922602
96	0.4304775076
97	0.430119202
98	0.4293504686
99	0.4288640322
100	0.4283711909
101	0.4279148795
102	0.427349854
103	0.4269370554
104	0.426299999
105	0.425835896
106	0.4253446793
107	0.424658097
108	0.4240903899
109	0.4235973531
110	0.4229473624
111	0.422541012
112	0.421923552
113	0.4213779112
114	0.4209989167
115	0.4205388378
116	0.4201885516
117	0.4197540065
118	0.4193081596
119	0.418837
120	0.4182745697
121	0.417560703
122	0.4171874677
123	0.4169155245
124	0.4165719602
125	0.4163090903
126	0.4158489488
127	0.4152201797
128	0.4148648772
129	0.4144410445
130	0.4140374681
131	0.4135400564
132	0.4129197751
133	0.4125975405
134	0.4124526087
135	0.4121114584
136	0.4116153081
137	0.4113502037
138	0.4110517927
139	0.4107644718
140	0.4103707966
141	0.4100235847
142	0.4096990858
143	0.4093981433
144	0.4090847094
145	0.4087471378
146	0.4084663481
147	0.4080474412
148	0.4077476422
149	0.407552545
150	0.4071193912
151	0.4067114654
152	0.4062350522
153	0.4059251615
154	0.4057212863
155	0.4054423748
156	0.405224555
157	0.4050206953
158	0.4047072977
159	0.4044387879
160	0.4041126677
161	0.4036982077
162	0.4033465152
163	0.4030101362
164	0.4027816223
165	0.4025687371
166	0.4023263566
167	0.4021155063
168	0.4018358025
169	0.4016138131
170	0.4012680025
171	0.401027809
172	0.400903743
173	0.4006994569
174	0.4003660438
175	0.4001663137
176	0.4000234513
177	0.3997256609
178	0.3995174167
179	0.3991286413
180	0.3988530429
181	0.3985651186
182	0.3983844485
183	0.3981938329
184	0.3979864737
185	0.3978148866
186	0.3975829813
187	0.3974492278
188	0.3972546534
189	0.3970776903
190	0.3969790457
191	0.3967370271
192	0.3965812394
193	0.3963182283
194	0.3959565617
195	0.3957340386
196	0.3955809676
197	0.3954426615
198	0.3952700059
199	0.3949476005
200	0.394667542
201	0.3944284375
202	0.3942373422
203	0.3940837532
204	0.3937557264
205	0.3935107081
206	0.3933119822
207	0.3931527103
208	0.392864014
209	0.3926123344
210	0.3924536936
211	0.3922848308
212	0.3921658013
213	0.3920498295
214	0.3918765887
215	0.3916209033
216	0.3914483482
217	0.3912931212
