iter	Passed	Remaining
0	153	153635
1	157	78782
2	161	53835
3	165	41275
4	169	33749
5	173	28797
6	177	25209
7	181	22549
8	185	20465
9	190	18812
10	193	17435
11	197	16278
12	201	15321
13	206	14514
14	210	13807
15	214	13170
16	218	12614
17	222	12117
18	225	11644
19	229	11245
20	234	10913
21	239	10643
22	244	10377
23	248	10123
24	253	9894
25	258	9683
26	262	9476
27	267	9301
28	272	9113
29	276	8936
30	280	8769
31	284	8615
32	288	8464
33	292	8319
34	297	8194
35	301	8075
36	306	7976
37	311	7875
38	315	7769
39	319	7669
40	323	7578
41	328	7487
42	332	7395
43	336	7306
44	340	7220
45	344	7140
46	348	7063
47	352	6989
48	356	6918
49	360	6850
50	364	6789
51	369	6727
52	373	6665
53	377	6606
54	381	6549
55	385	6498
56	389	6445
57	393	6394
58	397	6342
59	402	6298
60	406	6250
61	410	6213
62	415	6178
63	419	6133
64	423	6094
65	427	6054
66	431	6015
67	436	5976
68	440	5940
69	444	5907
70	448	5870
71	452	5834
72	456	5801
73	460	5766
74	464	5731
75	468	5699
76	473	5672
77	477	5641
78	481	5610
79	485	5579
80	489	5553
81	493	5523
82	497	5494
83	501	5468
84	505	5441
85	509	5414
86	513	5386
87	517	5361
88	521	5337
89	525	5310
90	529	5285
91	533	5260
92	537	5237
93	541	5215
94	545	5192
95	549	5171
96	553	5148
97	557	5126
98	561	5105
99	565	5087
100	569	5067
101	573	5046
102	577	5028
103	581	5008
104	585	4989
105	589	4970
106	593	4951
107	597	4934
108	601	4915
109	605	4897
110	609	4880
111	613	4862
112	617	4845
113	621	4829
114	625	4813
115	629	4797
116	633	4780
117	637	4764
118	641	4749
119	645	4732
120	649	4716
121	653	4701
122	657	4687
123	661	4672
124	665	4656
125	669	4640
126	673	4626
127	677	4612
128	680	4597
129	684	4583
130	688	4569
131	692	4555
132	696	4542
133	700	4529
134	704	4512
135	708	4498
136	711	4484
137	715	4471
138	719	4459
139	724	4448
140	728	4435
141	731	4422
142	736	4411
143	740	4399
144	743	4386
145	747	4374
146	751	4363
147	755	4350
148	759	4339
149	764	4331
150	768	4321
151	772	4310
152	776	4301
